vehicle_id,model,make_year,color
V236106,Sedan,2021,Blue
V65234,Convertible,2022,Green
V399909,Hatchback,2022,Green
V442698,SUV,2018,White
V239605,Sedan,2021,Blue
V94538,Hatchback,2019,White
V323886,SUV,2016,Red
V249750,Sedan,2016,Blue
V293441,Sedan,2019,Black
V228508,Hatchback,2021,Red
V13874,Truck,2018,Blue
V94224,Hatchback,2017,Blue
V325442,Truck,2017,White
V84642,SUV,2021,Black
V258701,Sedan,2016,Green
V210922,Convertible,2021,Blue
V69074,Hatchback,2021,Blue
V101999,Hatchback,2015,Red
V100502,Hatchback,2020,White
V463546,Sedan,2021,White
V455394,SUV,2019,Green
V82565,Convertible,2020,Black
V57741,Sedan,2017,Blue
V472766,Hatchback,2021,Red
V252087,Hatchback,2024,Red
V278108,Sedan,2022,Red
V403008,Truck,2015,Red
V264047,Convertible,2017,Blue
V315092,Sedan,2017,White
V430041,Hatchback,2017,Red
V46812,Truck,2015,Green
V37510,Coupe,2017,Blue
V248439,SUV,2017,Black
V291396,SUV,2017,White
V51012,Coupe,2019,Black
V283448,Hatchback,2015,Blue
V381256,Hatchback,2020,Blue
V11085,Convertible,2015,Green
V8221,Coupe,2020,Blue
V148347,Coupe,2021,White
V470980,SUV,2018,Black
V348607,Truck,2019,Black
V244932,SUV,2023,Green
V84545,Sedan,2021,Black
V268248,Coupe,2019,Red
V16464,Coupe,2020,White
V387685,SUV,2016,Blue
V384340,Convertible,2020,White
V140631,Coupe,2023,Blue
V70830,Hatchback,2016,Black
V338503,Sedan,2017,White
V250095,SUV,2015,White
V105878,Coupe,2015,Red
V386893,SUV,2021,Green
V231994,Hatchback,2021,White
V412048,Convertible,2017,Red
V462134,Hatchback,2016,Blue
V146533,Truck,2023,Black
V245319,Hatchback,2018,Red
V123191,Hatchback,2017,White
V149172,Truck,2024,Black
V112319,Hatchback,2016,Black
V450235,Coupe,2015,White
V109524,Truck,2022,Black
V222820,Coupe,2018,Green
V479241,Truck,2018,White
V232114,Coupe,2024,Green
V309053,Convertible,2016,White
V323619,Coupe,2018,Red
V275997,Hatchback,2024,Green
V265916,Truck,2018,Green
V126368,Convertible,2020,White
V320365,Coupe,2022,Red
V436702,Coupe,2018,Black
V174666,Convertible,2018,Red
V141737,SUV,2023,Black
V35055,Hatchback,2015,Blue
V79605,Sedan,2018,Blue
V327481,Coupe,2019,Red
V410560,Truck,2018,White
V216571,Convertible,2023,White
V417746,Coupe,2021,Green
V301420,Convertible,2017,Red
V296602,Sedan,2022,Blue
V115750,Sedan,2022,Blue
V348960,Hatchback,2015,Black
V321736,Truck,2015,Red
V338499,Convertible,2020,Green
V402408,Truck,2016,Red
V198800,Truck,2024,White
V124327,Sedan,2022,Green
V225930,Coupe,2018,Black
V248863,Coupe,2018,Red
V398351,Convertible,2024,Blue
V333428,Convertible,2016,Blue
V296018,Sedan,2020,Red
V55249,Hatchback,2019,Green
V137551,Sedan,2020,Green
V168918,Convertible,2019,Red
V118582,Hatchback,2018,Blue
V25418,Truck,2021,White
V20041,Coupe,2015,Red
V37013,Truck,2021,Black
V266609,SUV,2023,White
V357333,Hatchback,2015,Green
V41162,Convertible,2022,Red
V384110,SUV,2024,White
V315245,Sedan,2020,White
V39615,Convertible,2015,Black
V441496,Hatchback,2023,Red
V6225,Convertible,2020,Black
V364841,Coupe,2022,Red
V465217,Hatchback,2018,Blue
V271036,Coupe,2024,Black
V476593,Coupe,2017,Black
V101282,Hatchback,2022,Blue
V180330,SUV,2016,Red
V437113,Convertible,2020,Green
V244439,Hatchback,2021,Green
V142031,Truck,2017,Blue
V422287,SUV,2021,Black
V157245,Coupe,2022,Green
V190859,SUV,2015,Black
V432685,Convertible,2023,Black
V38963,SUV,2024,Red
V169267,Truck,2023,Green
V235920,Truck,2021,Red
V231649,Hatchback,2020,Green
V473718,Truck,2020,Green
V48673,Convertible,2021,Blue
V94746,Sedan,2015,Green
V230663,SUV,2016,Red
V223093,Coupe,2019,Green
V323033,Truck,2021,Green
V302611,Convertible,2019,Black
V471229,Coupe,2015,White
V382857,Coupe,2021,Black
V237645,Hatchback,2023,Green
V198118,Truck,2020,Red
V11175,Truck,2020,Black
V273647,Sedan,2019,Blue
V112390,Truck,2021,Red
V173422,Convertible,2015,Green
V138820,Hatchback,2016,White
V414748,Truck,2019,Black
V448176,Coupe,2016,Black
V99477,Coupe,2017,Blue
V291917,Coupe,2020,Blue
V408115,Sedan,2022,Red
V48594,Hatchback,2024,White
V117554,Truck,2023,Black
V450904,SUV,2024,Blue
V201602,Hatchback,2024,White
V152719,Convertible,2022,Blue
V248060,Sedan,2019,White
V108528,Truck,2022,Green
V441428,Sedan,2020,Blue
V190054,Coupe,2019,Blue
V145109,Hatchback,2021,Red
V354060,Coupe,2019,Black
V427505,SUV,2021,Green
V456846,Hatchback,2017,Blue
V271488,Truck,2024,Blue
V58825,SUV,2018,Green
V453965,SUV,2016,White
V152552,Sedan,2017,Black
V378140,Truck,2024,Green
V135467,Sedan,2024,Black
V379326,Truck,2022,Blue
V244140,Truck,2022,Black
V87191,Truck,2023,Black
V361901,SUV,2015,White
V41581,Coupe,2016,Black
V401906,Hatchback,2023,Green
V244363,Convertible,2019,White
V13662,Convertible,2015,White
V111686,Sedan,2016,Green
V5844,Coupe,2021,Blue
V383422,Hatchback,2016,Green
V448898,Hatchback,2015,Red
V405864,Truck,2024,Black
V374914,Hatchback,2024,Blue
V176140,Convertible,2016,Blue
V158417,SUV,2022,Black
V311515,SUV,2021,White
V226827,Sedan,2022,White
V232457,SUV,2016,Red
V266937,Truck,2024,Green
V483412,Convertible,2021,Red
V27642,SUV,2024,White
V433558,Truck,2016,Blue
V39719,SUV,2021,Red
V493484,Coupe,2016,Blue
V401718,Coupe,2022,Green
V200175,Coupe,2017,Black
V148119,SUV,2022,Green
V235141,Convertible,2022,Green
V366234,Convertible,2021,Black
V41001,Truck,2018,Green
V433906,Convertible,2023,Red
V296760,Convertible,2021,Green
V494029,Hatchback,2018,Green
V165707,Sedan,2020,White
V382346,Sedan,2017,White
V211185,Truck,2021,Red
V164464,Sedan,2020,Blue
V499834,Convertible,2023,Green
V324564,Hatchback,2019,Red
V156821,Convertible,2024,Red
V369917,Convertible,2024,Green
V472336,Sedan,2016,White
V108138,Truck,2023,Blue
V226253,SUV,2017,Blue
V269811,Truck,2021,Blue
V15518,Hatchback,2019,Red
V191766,Coupe,2018,White
V103310,Truck,2018,Green
V489950,Sedan,2021,White
V72336,SUV,2016,Black
V337426,Truck,2022,Black
V458129,Hatchback,2015,Green
V175668,Hatchback,2021,Green
V272489,Sedan,2016,Black
V329148,Coupe,2024,Red
V310398,SUV,2019,Green
V332504,Sedan,2017,White
V82946,Hatchback,2021,White
V399750,SUV,2015,White
V259657,Truck,2017,Red
V426075,Coupe,2015,Blue
V483862,Truck,2020,Blue
V337524,Convertible,2017,Blue
V83518,Sedan,2022,White
V172381,SUV,2016,Green
V141168,Sedan,2017,Black
V232719,Truck,2019,Green
V400687,SUV,2022,White
V47341,Hatchback,2021,Blue
V219743,SUV,2021,Blue
V292993,Convertible,2021,White
V486827,SUV,2015,White
V182372,SUV,2018,Green
V9951,SUV,2024,Green
V85530,Sedan,2017,Blue
V482842,SUV,2016,Red
V142777,Hatchback,2019,Green
